a war	Cx=219340038	Bx=801301707
war munition	Cy=4598	By=9749
war munitions	Cy=42297	By=102902
murder war	Cx=356998	Bx=1397838
war murder	Cy=356998	By=1397838
war murdered	Cy=110392	By=389419
murdering war	Cx=17646	Bx=64565
murderous war	Cx=30695	Bx=106397
war murders	Cy=44930	By=217617
war mus	Cy=55235	By=198133
muscovite war	Cx=17905	Bx=31811
muscular war	Cx=174849	Bx=625139
war museum	Cy=535666	By=2192351
war museums	Cy=60303	By=320113
mushroom war	Cx=22088	Bx=122533
mushrooming war	Cx=4716	Bx=14174
music war	Cx=1495867	Bx=6363551
war music	Cy=1495867	By=6363551
musical war	Cx=389750	Bx=1668384
war musical	Cy=389750	By=1668384
war musket	Cy=22239	By=55351
war muskets	Cy=21580	By=48398
muslim war	Cx=99836	Bx=479378
war mussolini	Cy=73756	By=148293
must war	Cx=10501966	Bx=32132665
war must	Cy=10501966	By=32132665
war muster	Cy=41699	By=141250
war mustered	Cy=28553	By=77337
mutilated war	Cx=27810	Bx=74185
mutter war	Cx=15035	Bx=48122
mutual war	Cx=443810	Bx=1543903
my war	Cx=13422333	Bx=51738269
war my	Cy=13422333	By=51738269
war myself	Cy=1181155	By=4136316
mysore war	Cx=10177	Bx=16484
mysterious war	Cx=193073	Bx=613751
mystic war	Cx=81746	Bx=215955
war myth	Cy=235292	By=1227708
mythic war	Cx=12536	Bx=158610
mythical war	Cx=53393	Bx=198773
mythological war	Cx=38085	Bx=132082
war mythology	Cy=85541	By=349145
war myths	Cy=99285	By=601430
n war	Cx=3328519	Bx=11712766
war n	Cy=3328519	By=11712766
na war	Cx=254811	Bx=1306515
war na	Cy=254811	By=1306515
war nach	Cy=42670	By=105887
nacht war	Cx=6010	Bx=20327
war nad	Cy=16720	By=76502
nae war	Cx=8738	Bx=15765
war nae	Cy=8738	By=15765
naked war	Cx=211349	Bx=701796
nam war	Cx=107632	Bx=194251
name war	Cx=3230270	Bx=11947277
war name	Cy=3230270	By=11947277
named war	Cx=826737	Bx=2963973
war named	Cy=826737	By=2963973
nameless war	Cx=26071	Bx=80140
namely war	Cx=442012	Bx=1162590
war namely	Cy=442012	By=1162590
names war	Cx=1021115	Bx=3656453
war names	Cy=1021115	By=3656453
war namlich	Cy=589	By=2111
war naples	Cy=102546	By=229767
napoleon war	Cx=227703	Bx=419061
war napoleon	Cy=227703	By=419061
napoleonic war	Cx=34261	Bx=80890
narraganset war	Cx=924	Bx=1574
narragansett war	Cx=9257	Bx=22780
narrative war	Cx=269691	Bx=1677446
war narrative	Cy=269691	By=1677446
war narratives	Cy=40650	By=376114
narrow war	Cx=611093	Bx=1912634
war narrowed	Cy=47981	By=204344
war narrowly	Cy=59009	By=227176
nascent war	Cx=13288	Bx=68666
nasty war	Cx=40837	Bx=193411
nat war	Cx=161486	Bx=480143
natchez war	Cx=21645	Bx=59360
war natchez	Cy=21645	By=59360
nation war	Cx=1287885	Bx=3276974
war nation	Cy=1287885	By=3276974
national war	Cx=3812611	Bx=14980314
war national	Cy=3812611	By=14980314
war nationalism	Cy=229459	By=542676
nationalist war	Cx=172542	Bx=414529
war nationalist	Cy=172542	By=414529
nationalistic war	Cx=41081	Bx=100428
nations war	Cx=1389623	Bx=3287276
war nations	Cy=1389623	By=3287276
nationwide war	Cx=44863	Bx=290458
native war	Cx=761170	Bx=2542553
war native	Cy=761170	By=2542553
nato war	Cx=86006	Bx=320370
war nato	Cy=86006	By=320370
natur war	Cx=11386	Bx=27855
natural war	Cx=2157486	Bx=7708446
war natural	Cy=2157486	By=7708446
naturally war	Cx=635821	Bx=1670947
war naturally	Cy=635821	By=1670947
nature war	Cx=3720098	Bx=11363904
war nature	Cy=3720098	By=11363904
war nautilus	Cy=7995	By=30764
navaho war	Cx=32958	Bx=41907
navajo war	Cx=30552	Bx=239519
naval war	Cx=423927	Bx=1369331
war naval	Cy=423927	By=1369331
navarrese war	Cx=954	Bx=2249
war navies	Cy=13200	By=44556
navy war	Cx=465121	Bx=1527174
war navy	Cy=465121	By=1527174
nazi war	Cx=174740	Bx=608182
war nazi	Cy=174740	By=608182
nd war	Cx=127539	Bx=611543
ne war	Cx=417210	Bx=1145034
war ne	Cy=417210	By=1145034
neapolitan war	Cx=14964	Bx=34753
near war	Cx=2227569	Bx=6950502
war near	Cy=2227569	By=6950502
nearby war	Cx=218263	Bx=1037721
war neared	Cy=17195	By=62865
nearer war	Cx=185606	Bx=327646
war nearer	Cy=185606	By=327646
nearest war	Cx=208785	Bx=563757
war nearing	Cy=25842	By=87740
nearly war	Cx=1315196	Bx=3981209
war nearly	Cy=1315196	By=3981209
war nears	Cy=5510	By=22308
necessarily war	Cx=673997	Bx=2271593
war necessarily	Cy=673997	By=2271593
necessary war	Cx=3188370	Bx=10018652
war necessary	Cy=3188370	By=10018652
necessitate war	Cx=31248	Bx=118516
war necessitate	Cy=31248	By=118516
necessitated war	Cx=42904	Bx=130250
war necessitated	Cy=42904	By=130250
war necessitates	Cy=28087	By=110993
war necessitating	Cy=12657	By=59437
war necessities	Cy=83622	By=201391
war necessity	Cy=694151	By=1612735
need war	Cx=3219082	Bx=15956444
war need	Cy=3219082	By=15956444
needed war	Cx=1422274	Bx=6716119
war needed	Cy=1422274	By=6716119
needful war	Cx=24294	Bx=40882
needless war	Cx=77932	Bx=229925
war needlessly	Cy=14689	By=47175
needs war	Cx=1612233	Bx=8203993
war needs	Cy=1612233	By=8203993
needy war	Cx=42546	Bx=175605
nefarious war	Cx=7734	Bx=22692
negative war	Cx=968133	Bx=4731712
war neglect	Cy=207137	By=777740
neglected war	Cx=254467	Bx=674507
war neglected	Cy=254467	By=674507
negotiate war	Cx=85589	Bx=397474
negotiations war	Cx=322208	Bx=1005809
war negotiations	Cy=322208	By=1005809
negro war	Cx=1444768	Bx=1768796
war negro	Cy=1444768	By=1768796
war negroes	Cy=786303	By=763873
neighborhood war	Cx=312688	Bx=1390444
neighboring war	Cx=142204	Bx=434222
neighbouring war	Cx=64277	Bx=106580
neighing war	Cx=3328	Bx=7226
neither war	Cx=1432556	Bx=4182795
war neither	Cy=1432556	By=4182795
war nelson	Cy=167607	By=873666
war neo	Cy=101288	By=397398
nepal war	Cx=25642	Bx=102634
nepalese war	Cx=4810	Bx=14718
nepaul war	Cx=279	Bx=284
war nephritis	Cy=23353	By=88233
war ner	Cy=12678	By=45385
nerve war	Cx=539382	Bx=2762844
war nerves	Cy=237472	By=898103
nese war	Cx=2038	Bx=5626
nesian war	Cx=220	Bx=552
net war	Cx=631235	Bx=2515946
war net	Cy=631235	By=2515946
netherland war	Cx=8136	Bx=28349
netherlands war	Cx=139649	Bx=588289
war netherlands	Cy=139649	By=588289
war network	Cy=382341	By=3674850
neu war	Cx=10771	Bx=65664
war neurasthenia	Cy=5268	By=18545
war neuroses	Cy=37437	By=92093
war neurosis	Cy=83537	By=239328
war neurotic	Cy=138747	By=334131
war neurotics	Cy=19455	By=32470
neutral war	Cx=311360	Bx=1061241
war neutral	Cy=311360	By=1061241
war neutrality	Cy=116026	By=280557
war neutrals	Cy=21222	By=32417
never war	Cx=5167063	Bx=17176083
war never	Cy=5167063	By=17176083
neverending war	Cx=1409	Bx=6665
nevertheless war	Cx=915877	Bx=2723178
war nevertheless	Cy=915877	By=2723178
new war	Cx=16925221	Bx=66188536
war new	Cy=16925221	By=66188536
newer war	Cx=97615	Bx=378597
newest war	Cx=31460	Bx=133900
war newly	Cy=311658	By=1212558
news war	Cx=1001331	Bx=4310282
war news	Cy=1001331	By=4310282
war newsmen	Cy=22976	By=43659
newspaper war	Cx=505455	Bx=1797485
war newspaper	Cy=505455	By=1797485
war newspapers	Cy=413662	By=1294450
war newsreel	Cy=5812	By=29494
war newsreels	Cy=3491	By=16398
war newton	Cy=146358	By=509973
next war	Cx=2750464	Bx=11052452
war next	Cy=2750464	By=11052452
nf war	Cx=69279	Bx=176262
war nf	Cy=69279	By=176262
ng war	Cx=44924	Bx=354908
war ngainst	Cy=221	By=525
war niagara	Cy=42393	By=129932
nian war	Cx=1240	Bx=5259
nic war	Cx=8372	Bx=44055
nicaraguan war	Cx=8174	Bx=122555
nice war	Cx=314745	Bx=1497794
war nicholas	Cy=190502	By=667849
nicht war	Cx=58867	Bx=142735
war nicht	Cy=58867	By=142735
war nichts	Cy=6614	By=16740
nie war	Cx=9074	Bx=47583
war nie	Cy=9074	By=47583
niemals war	Cx=818	Bx=1960
war nigeria	Cy=104282	By=315672
nigerian war	Cx=30759	Bx=110244
nigger war	Cx=47377	Bx=148340
war nigh	Cy=50308	By=85388
night war	Cx=2398274	Bx=8430698
war night	Cy=2398274	By=8430698
nightly war	Cx=26347	Bx=105591
nightmare war	Cx=53602	Bx=267964
war nightmare	Cy=53602	By=267964
war nightmares	Cy=15844	By=133840
nightmarish war	Cx=5515	Bx=26574
war nights	Cy=195936	By=709879
niirnberg war	Cx=4246	Bx=9227
nine war	Cx=786047	Bx=2685224
war nine	Cy=786047	By=2685224
nineteen war	Cx=129946	Bx=408730
war nineteen	Cy=129946	By=408730
war nineteenth	Cy=526913	By=1984175
war ninety	Cy=146553	By=501505
ning war	Cx=19859	Bx=48897
nintendo war	Cx=3	Bx=11682
ninth war	Cx=176593	Bx=534268
war niobe	Cy=4537	By=11022
nipponese war	Cx=874	Bx=2263
nisei war	Cx=11269	Bx=42465
nitrate war	Cx=89953	Bx=247894
nixon war	Cx=77977	Bx=735297
nnd war	Cx=16555	Bx=37837
war nnd	Cy=16555	By=37837
no war	Cx=22568911	Bx=71886593
war no	Cy=22568911	By=71886593
noble war	Cx=433192	Bx=999692
nobler war	Cx=26245	Bx=42743
noblest war	Cx=38276	Bx=60312
war nobly	Cy=22957	By=39159
war nobody	Cy=356716	By=1217288
noch war	Cx=18214	Bx=44956
war noch	Cy=18214	By=44956
war nocht	Cy=3424	By=3345
war nock	Cy=4046	By=13351
nocturnal war	Cx=31475	Bx=164766
war noise	Cy=488482	By=2144706
noiseless war	Cx=7793	Bx=16794
war noises	Cy=55337	By=217620
noisy war	Cx=73073	Bx=255326
nomad war	Cx=12020	Bx=28175
nomadic war	Cx=30309	Bx=101639
nominal war	Cx=112594	Bx=565576
war nominally	Cy=35141	By=91991
war non	Cy=1755054	By=6018460
war none	Cy=1212629	By=3795098
war nonetheless	Cy=121387	By=911687
nonexistent war	Cx=38507	Bx=183133
nonnuclear war	Cx=2245	Bx=13975
war nonsense	Cy=145369	By=398252
nonstop war	Cx=4329	Bx=44543
nonviolent war	Cx=20757	Bx=125003
nor war	Cx=2768212	Bx=6901206
war nor	Cy=2768212	By=6901206
nordic war	Cx=14864	Bx=78007
war norm	Cy=115486	By=557977
normal war	Cx=2044356	Bx=8770423
war normal	Cy=2044356	By=8770423
war normalcy	Cy=10702	By=49585
war normally	Cy=499122	By=2179738
norman war	Cx=217690	Bx=931442
war norman	Cy=217690	By=931442
war norms	Cy=190623	By=989249
norse war	Cx=21177	Bx=61006
war north	Cy=2571862	By=8508843
northern war	Cx=887216	Bx=2625649
war northern	Cy=887216	By=2625649
war northward	Cy=78614	By=158362
war norway	Cy=126027	By=393013
norwegian war	Cx=78417	Bx=253710
war nose	Cy=347477	By=1400072
war nostalgia	Cy=30446	By=157508
not war	Cx=50895359	Bx=167171084
war not	Cy=50895359	By=167171084
notable war	Cx=207289	Bx=639194
notably war	Cx=175496	Bx=610185
note war	Cx=2017982	Bx=7685854
war note	Cy=2017982	By=7685854
noted war	Cx=1189636	Bx=4793956
war noted	Cy=1189636	By=4793956
war notes	Cy=1012778	By=4304672
noteworthy war	Cx=92989	Bx=284094
nothing war	Cx=3283560	Bx=9564229
war nothing	Cy=3283560	By=9564229
war notified	Cy=55478	By=187599
war notion	Cy=419515	By=2013141
war notions	Cy=158451	By=628850
war notoriety	Cy=17657	By=64060
notorious war	Cx=81507	Bx=251038
notwendig war	Cx=596	Bx=1539
notwithstanding war	Cx=150612	Bx=385592
war notwithstanding	Cy=150612	By=385592
nourish war	Cx=21838	Bx=73250
war nourished	Cy=43413	By=123874
war nov	Cy=446501	By=2107904
novel war	Cx=625730	Bx=2695373
war novel	Cy=625730	By=2695373
war novelist	Cy=107239	By=346984
war novelists	Cy=55114	By=146267
novels war	Cx=259305	Bx=982652
war novels	Cy=259305	By=982652
november war	Cx=1082566	Bx=3985143
war november	Cy=1082566	By=3985143
now war	Cx=10030870	Bx=30753564
war now	Cy=10030870	By=30753564
nowadays war	Cx=93206	Bx=229768
war nowadays	Cy=93206	By=229768
war nowhere	Cy=172158	By=612126
war npon	Cy=1640	By=4574
nt war	Cx=75516	Bx=435822
war nt	Cy=75516	By=435822
nubian war	Cx=4339	Bx=16263
nuclear war	Cx=661872	Bx=3179405
war nuclear	Cy=661872	By=3179405
nuernberg war	Cx=775	Bx=2311
nuke war	Cx=641	Bx=8672
war nullified	Cy=15099	By=36288
numantian war	Cx=40	Bx=53
numantine war	Cx=109	Bx=145
war number	Cy=6282528	By=22489775
war numbered	Cy=150325	By=463867
war numbers	Cy=1329221	By=4694386
numerous war	Cx=793033	Bx=2685890
war numerous	Cy=793033	By=2685890
numidian war	Cx=2018	Bx=2986
nun war	Cx=51491	Bx=196728
war nun	Cy=51491	By=196728
nur war	Cx=27820	Bx=72722
war nur	Cy=27820	By=72722
nuremberg war	Cx=36110	Bx=109549
war nuremberg	Cy=36110	By=109549
nuremburg war	Cx=1290	Bx=5052
war nurse	Cy=407237	By=2669733
war nurseries	Cy=18174	By=61452
war nursery	Cy=117042	By=375228
war nurses	Cy=222797	By=1689426
war nursing	Cy=404504	By=4421687
war nurtured	Cy=26400	By=127298
war nuthin	Cy=1722	By=7304
ny war	Cx=462818	Bx=2831610
o war	Cx=3237102	Bx=11577204
war o	Cy=3237102	By=11577204
war oa	Cy=40636	By=139273
oar war	Cx=22735	Bx=54188
ob war	Cx=69582	Bx=252723
war obelisk	Cy=8139	By=23604
war objected	Cy=110713	By=289521
objective war	Cx=743039	Bx=2838146
war objective	Cy=743039	By=2838146
war objectively	Cy=66952	By=228006
war objectives	Cy=491661	By=2258842
war objector	Cy=8605	By=22567
war objectors	Cy=12150	By=28397
war objects	Cy=828077	By=3269925
war obleeged	Cy=262	By=456
war obligation	Cy=292984	By=943512
war obligations	Cy=255226	By=810915
obligatory war	Cx=44183	Bx=161318
war oblige	Cy=31977	By=77921
war obliged	Cy=279079	By=570869
war obliges	Cy=8964	By=25741
war obliterated	Cy=31751	By=96348
obscene war	Cx=50268	Bx=161370
obscure war	Cx=216634	Bx=568997
war obscure	Cy=216634	By=568997
war obscured	Cy=61354	By=200200
war observation	Cy=640017	By=2176415
war observations	Cy=691421	By=2251423
observe war	Cx=434742	Bx=1390011
observed war	Cx=1344627	Bx=4621849
war observed	Cy=1344627	By=4621849
war observers	Cy=175860	By=630852
war observes	Cy=88723	By=365726
war obsessed	Cy=34666	By=166352
war obsession	Cy=38968	By=212086
obsolete war	Cx=86613	Bx=258845
war obsolete	Cy=86613	By=258845
obstinate war	Cx=38162	Bx=71179
obtain war	Cx=1044939	Bx=3025830
war obtain	Cy=1044939	By=3025830
obtained war	Cx=1868811	Bx=4914186
war obtained	Cy=1868811	By=4914186
obtaining war	Cx=276211	Bx=897175
obviate war	Cx=16414	Bx=47458
obvious war	Cx=849629	Bx=2823917
war obvious	Cy=849629	By=2823917
obviously war	Cx=741941	Bx=2344730
war obviously	Cy=741941	By=2344730
war oc	Cy=53917	By=204713
occasion war	Cx=718862	Bx=1658127
war occasion	Cy=718862	By=1658127
occasional war	Cx=309560	Bx=1019403
occasionally war	Cx=601223	Bx=2053488
war occasionally	Cy=601223	By=2053488
occasioned war	Cx=66921	Bx=138057
war occasioned	Cy=66921	By=138057
occasions war	Cx=345738	Bx=975507
war occasions	Cy=345738	By=975507
war occupation	Cy=444866	By=1378242
war occupations	Cy=197529	By=663067
war occupied	Cy=514815	By=1312784
war occupies	Cy=90294	By=253603
war occupy	Cy=194532	By=526349
war occupying	Cy=86005	By=241365
war occur	Cy=1243434	By=5872740
war occurred	Cy=751944	By=3032863
war occurring	Cy=246020	By=1153357
war occurs	Cy=936604	By=4336906
ocean war	Cx=422672	Bx=1534873
oceanic war	Cx=30561	Bx=147533
war oct	Cy=432075	By=2095983
october war	Cx=1175642	Bx=4366807
war october	Cy=1175642	By=4366807
odd war	Cx=279820	Bx=917602
war ode	Cy=71541	By=136931
oder war	Cx=38645	Bx=98279
war oder	Cy=38645	By=98279
odious war	Cx=30493	Bx=55915
war odious	Cy=30493	By=55915
of war	Cx=459679726	Bx=1500322094
war of	Cy=459679726	By=1500322094
off war	Cx=4032523	Bx=15840877
war off	Cy=4032523	By=15840877
war offended	Cy=71446	By=211023
war offenses	Cy=73922	By=336965
offensive war	Cx=207179	Bx=662253
war offensive	Cy=207179	By=662253
war offensively	Cy=4161	By=11337
offer war	Cx=779660	Bx=3529499
war offer	Cy=779660	By=3529499
offered war	Cx=936468	Bx=3436873
war offered	Cy=936468	By=3436873
offering war	Cx=271086	Bx=1264205
war offering	Cy=271086	By=1264205
war offerings	Cy=90094	By=328250
offers war	Cx=360826	Bx=1961691
war offers	Cy=360826	By=1961691
office war	Cx=2384791	Bx=9159675
war office	Cy=2384791	By=9159675
war officer	Cy=779677	By=2483753
officers war	Cx=1049212	Bx=2781334
war officers	Cy=1049212	By=2781334
war offices	Cy=405308	By=1348691
official war	Cx=1009101	Bx=2999982
war official	Cy=1009101	By=2999982
war officially	Cy=148183	By=482742
war officials	Cy=698853	By=2387260
war oflice	Cy=493	By=1538
oft war	Cx=72657	Bx=154083
war oft	Cy=72657	By=154083
often war	Cx=4471689	Bx=19545226
war often	Cy=4471689	By=19545226
ofthat war	Cx=1624	Bx=6649
ofthe war	Cx=9816	Bx=51485
war ofthe	Cy=9816	By=51485
ofworld war	Cx=11	Bx=399
ogaden war	Cx=1219	Bx=8336
oglala war	Cx=2433	Bx=18883
oh war	Cx=821453	Bx=3484026
war oh	Cy=821453	By=3484026
ohio war	Cx=601993	Bx=2073264
war ohio	Cy=601993	By=2073264
war ohne	Cy=9280	By=26211
oi war	Cx=63804	Bx=240223
war oi	Cy=63804	By=240223
oil war	Cx=1211139	Bx=5199448
war oil	Cy=1211139	By=5199448
oiled war	Cx=13179	Bx=51094
oivil war	Cx=231	Bx=138
oj war	Cx=56297	Bx=169178
war oj	Cy=56297	By=169178
ojibway war	Cx=2097	Bx=8249
ok war	Cx=62061	Bx=727926
war ok	Cy=62061	By=727926
oklahoma war	Cx=148744	Bx=675113
okw war	Cx=6586	Bx=11669
ol war	Cx=101277	Bx=582654
war ol	Cy=101277	By=582654
old war	Cx=5857020	Bx=19020015
war old	Cy=5857020	By=19020015
olden war	Cx=16802	Bx=36630
older war	Cx=849954	Bx=4451840
oldest war	Cx=187678	Bx=714291
oldfashioned war	Cx=10052	Bx=29681
ole war	Cx=34352	Bx=152499
war oliver	Cy=163809	By=617774
olutionary war	Cx=170	Bx=580
olynthian war	Cx=251	Bx=260
omaha war	Cx=39998	Bx=159479
omened war	Cx=2197	Bx=3634
ominous war	Cx=52278	Bx=173680
on war	Cx=63022353	Bx=232804953
war on	Cy=63022353	By=232804953
once war	Cx=3673368	Bx=12813094
war once	Cy=3673368	By=12813094
oncoming war	Cx=12436	Bx=42837
one war	Cx=31507114	Bx=106379939
war one	Cy=31507114	By=106379939
oneida war	Cx=13961	Bx=59179
war oneida	Cy=13961	By=59179
oneman war	Cx=1522	Bx=3702
onerous war	Cx=16186	Bx=54313
war ones	Cy=994561	By=3650489
ongoing war	Cx=26200	Bx=786606
onin war	Cx=345	Bx=1288
only war	Cx=17307886	Bx=56369925
war only	Cy=17307886	By=56369925
onondaga war	Cx=9268	Bx=30363
onr war	Cx=5976	Bx=16536
onrushing war	Cx=2888	Bx=7278
war onskan	Cy=4	By=7
war ontario	Cy=77511	By=468003
onto war	Cx=299109	Bx=2166157
war onto	Cy=299109	By=2166157
onward war	Cx=61010	Bx=186637
war onward	Cy=61010	By=186637
war onwards	Cy=51627	By=110701
ooo war	Cx=163205	Bx=278760
op war	Cx=548511	Bx=1437012
war op	Cy=548511	By=1437012
open war	Cx=2213827	Bx=9343724
war open	Cy=2213827	By=9343724
opened war	Cx=801424	Bx=2876279
war opened	Cy=801424	By=2876279
opening war	Cx=664786	Bx=2559450
war opening	Cy=664786	By=2559450
war openly	Cy=190061	By=612119
opens war	Cx=153868	Bx=674316
war opens	Cy=153868	By=674316
opera war	Cx=339500	Bx=1133333
war opera	Cy=339500	By=1133333
war operate	Cy=435253	By=1570986
war operated	Cy=341717	By=1143116
war operates	Cy=150381	By=607263
operatic war	Cx=20435	Bx=75865
war operating	Cy=687841	By=3156144
war operation	Cy=1639966	By=5058717
operational war	Cx=180267	Bx=953204
war operational	Cy=180267	By=953204
operations war	Cx=1075128	Bx=4040884
war operations	Cy=1075128	By=4040884
opinion war	Cx=1553528	Bx=3719984
war opinion	Cy=1553528	By=3719984
war opinions	Cy=433047	By=1177163
opium war	Cx=68477	Bx=216346
war opponent	Cy=118635	By=371996
war opponents	Cy=184861	By=549421
war opportunities	Cy=468807	By=2235706
war opportunity	Cy=990759	By=3674600
oppose war	Cx=150844	Bx=417853
opposed war	Cx=563346	Bx=1821918
war opposed	Cy=563346	By=1821918
opposes war	Cx=40604	Bx=112050
war opposes	Cy=40604	By=112050
opposing war	Cx=169019	Bx=558499
war opposing	Cy=169019	By=558499
war opposition	Cy=768928	By=2127016
war oppressed	Cy=83786	By=332643
oppressive war	Cx=50452	Bx=220350
war optimism	Cy=88435	By=307010
optimistic war	Cx=82341	Bx=341594
war option	Cy=106583	By=1503474
optional war	Cx=48199	Bx=389632
war options	Cy=45850	By=1618144
or war	Cx=50423109	Bx=197506142
war or	Cy=50423109	By=197506142
war oracle	Cy=47572	By=166745
orange war	Cx=266213	Bx=1072274
war orator	Cy=60312	By=108694
war orators	Cy=28968	By=46296
war oratory	Cy=54415	By=99546
ordained war	Cx=87609	Bx=240695
war ordained	Cy=87609	By=240695
war ordeal	Cy=52664	By=168776
order war	Cx=5168532	Bx=16759392
war order	Cy=5168532	By=16759392
ordered war	Cx=712419	Bx=2206182
war ordered	Cy=712419	By=2206182
ordering war	Cx=133291	Bx=558251
war ordering	Cy=133291	By=558251
orderly war	Cx=153145	Bx=415757
orders war	Cx=797992	Bx=2220480
war orders	Cy=797992	By=2220480
war ordinance	Cy=135263	By=355295
war ordinarily	Cy=240892	By=514918
ordinary war	Cx=834184	Bx=2144725
war ordinary	Cy=834184	By=2144725
war ordnance	Cy=51908	By=109181
oreat war	Cx=584	Bx=1059
oregon war	Cx=195971	Bx=788577
war organ	Cy=333653	By=1293292
war organisation	Cy=109762	By=290708
organised war	Cx=44400	Bx=101219
war organised	Cy=44400	By=101219
organising war	Cx=8702	Bx=23957
war organization	Cy=2071108	By=7399518
war organizations	Cy=774706	By=4075835
organize war	Cx=203529	Bx=788221
organized war	Cx=874643	Bx=2778966
war organized	Cy=874643	By=2778966
organizes war	Cx=17878	Bx=86076
war organizes	Cy=17878	By=86076
organizing war	Cx=176230	Bx=806338
war organizing	Cy=176230	By=806338
oriental war	Cx=153130	Bx=410290
war orientation	Cy=358605	By=1767495
oriented war	Cx=260982	Bx=1788542
war oriented	Cy=260982	By=1788542
war origin	Cy=925766	By=2753497
original war	Cx=1712101	Bx=5621220
originally war	Cx=518169	Bx=1804344
war originally	Cy=518169	By=1804344
war originate	Cy=60863	By=232704
war originated	Cy=129162	By=413118
war originates	Cy=32541	By=141955
war originating	Cy=63745	By=234452
war origins	Cy=205234	By=1112430
orld war	Cx=1649	Bx=4903
ornamented war	Cx=29860	Bx=61548
war ornaments	Cy=68786	By=155115
